Название документа,Автор,Дата создания,Шрифт,Размер шрифта,Верхнее поле (см),Нижнее поле (см),Левое поле (см),Правое поле (см),Межстрочный интервал,Отступ абзаца (см),Наличие колонтитулов,Наличие нумерации страниц,Наличие титульного листа,Верно ли оформлены заголовки,Есть ли содержание с правильными отступами,Верно ли оформлены ссылки,Верно ли оформлены таблицы,Верно ли оформлены рисунки,Соответствует ли оформление списков,Правильно ли оформлены приложения,Верно ли указаны реквизиты документа,Соответствует ГОСТ
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 15,Щербаков Варлаам Викентьевич,08.12.2022,Times New Roman,13,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,False,False,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 16,Нифонт Адрианович Цветков,03.11.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,False,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 17,Моисеев Ким Ааронович,17.06.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.0,True,True,True,False,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 18,Сидор Эдгарович Ситников,09.12.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.5,True,True,True,True,True,True,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 19,Сергеев Евгений Анисимович,12.12.2023,Verdana,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,False,False,False,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 20,Алексеева Агата Святославовна,09.06.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,False,True,True,False,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 21,Георгий Ильич Селезнев,13.01.2022,Calibri,14,2.0,2.0,2.5,1.0,1.5,1.25,True,False,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 22,Елена Андреевна Волкова,29.12.2022,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,False,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 23,Карл Трифонович Кононов,24.07.2024,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,2.0,True,True,True,True,True,False,False,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 24,Андреев Федосий Аксёнович,18.05.2024,Verdana,12,2.0,2.0,3.0,1.0,1.5,1.0,True,True,True,False,True,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 25,София Андреевна Ефимова,01.06.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,2.0,True,False,True,True,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 26,Лыткина Ия Матвеевна,02.11.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,False,False,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 27,Модест Витальевич Денисов,23.04.2024,Times New Roman,12,2.0,2.5,3.0,1.0,0.8,1.25,False,True,True,True,False,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 28,Терентий Гордеевич Лазарев,29.10.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.0,1.25,True,True,True,True,False,False,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 29,Жукова Зинаида Кузьминична,15.08.2021,Times New Roman,13,2.0,1.5,3.0,1.0,1.0,1.25,False,False,True,False,False,False,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 30,Мина Елисеевич Королев,29.04.2023,Calibri,14,1.5,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 31,Нестор Александрович Емельянов,24.04.2024,Verdana,14,2.0,1.5,3.0,1.0,1.0,1.25,True,True,True,True,True,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 32,Елизавета Харитоновна Федотова,19.07.2022,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,False,True,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 33,Казаков Константин Терентьевич,18.12.2022,Times New Roman,12,1.5,2.0,3.0,1.0,1.5,1.0,True,True,True,True,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 34,Елена Захаровна Дмитриева,02.09.2023,Times New Roman,14,2.0,2.0,3.0,1.5,2.0,1.5,True,True,True,True,False,False,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 35,Савватий Захарьевич Игнатов,18.05.2022,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 36,Беляков Радим Ермилович,22.07.2021,Times New Roman,16,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 37,Белоусов Болеслав Артёмович,19.01.2023,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,2.0,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 38,Ия Кузьминична Евсеева,22.02.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 39,Каллистрат Бориславович Фролов,18.09.2023,Times New Roman,14,2.0,1.5,2.5,1.0,1.5,1.25,True,True,True,False,True,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 40,Голубев Демьян Антонович,28.03.2025,Verdana,14,2.0,1.5,4.0,1.0,1.5,1.25,True,True,True,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 41,Фаина Леоновна Филатова,06.01.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,True,False,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 42,Фролов Святослав Зиновьевич,27.07.2023,Times New Roman,14,2.0,2.0,4.0,1.0,1.0,1.25,True,True,True,True,False,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 43,Юлия Анатольевна Константинова,16.11.2021,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,False,False,True,False,True,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 44,Макаров Иларион Харитонович,04.02.2022,Arial,14,2.0,2.0,3.0,1.0,1.5,1.0,True,True,True,True,False,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 45,Гуляева Лора Даниловна,05.07.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.0,1.25,True,True,True,True,True,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 46,Герасимов Федот Ермилович,07.10.2023,Times New Roman,16,2.0,2.0,3.0,1.0,1.0,1.5,True,True,True,True,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 47,Красильников Иларион Теймуразович,13.02.2022,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 48,Емельянов Парамон Артурович,17.08.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 49,Тамара Геннадиевна Ефремова,02.08.2021,Times New Roman,12,2.0,2.0,3.0,1.5,1.5,1.25,False,True,True,False,False,True,False,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 50,г-н Молчанов Филипп Витальевич,20.04.2023,Times New Roman,14,2.0,2.0,4.0,1.0,1.5,1.25,False,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 51,Клавдия Тимуровна Рогова,22.05.2024,Times New Roman,14,2.0,1.5,4.0,1.0,1.5,1.25,True,True,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 52,Тамара Георгиевна Дроздова,24.08.2024,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,False,True,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 53,Ксения Ниловна Рыбакова,18.08.2022,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,False,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 54,Лукьян Даниилович Русаков,15.03.2024,Times New Roman,14,2.5,2.0,3.0,1.0,0.8,1.5,True,True,False,True,True,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 55,Овчинникова Феврония Егоровна,10.06.2022,Times New Roman,16,1.5,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 56,Смирнова Вероника Алексеевна,09.01.2023,Times New Roman,13,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,False,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 57,Самсонова Мария Кузьминична,21.01.2025,Calibri,14,2.5,1.5,3.0,1.0,0.8,1.25,True,True,True,False,False,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 58,Евдокимов Ефим Гертрудович,17.07.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.0,1.5,True,True,True,True,False,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 59,г-жа Степанова Зинаида Борисовна,17.08.2023,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,False,True,True,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 60,Ермил Феликсович Пахомов,15.07.2022,Calibri,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 61,Трофимов Захар Валерьянович,13.04.2024,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,False,False,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 62,Наина Михайловна Носкова,24.04.2024,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,False,True,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 63,Большаков Нестор Юльевич,01.07.2024,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,True,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 64,Ратибор Виленович Большаков,04.12.2021,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,False,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 65,Ульяна Архиповна Калинина,11.12.2024,Verdana,14,1.5,2.0,3.0,1.0,1.5,1.5,True,True,False,False,True,True,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 66,Большакова Галина Федоровна,05.06.2024,Times New Roman,14,2.0,2.0,4.0,1.0,0.8,1.25,True,True,False,True,False,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 67,Глафира Степановна Титова,22.12.2024,Times New Roman,14,1.5,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,True,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 68,Лонгин Евсеевич Николаев,16.03.2022,Times New Roman,14,2.0,2.0,3.0,1.0,0.8,1.5,True,True,True,False,True,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 69,Виктор Фокич Панфилов,19.10.2021,Times New Roman,14,2.0,2.5,3.0,1.0,1.5,1.5,True,True,True,True,True,False,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 70,Нинель Геннадиевна Гуляева,15.01.2022,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,False,False,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 71,Фома Гурьевич Красильников,04.04.2023,Times New Roman,14,1.5,2.0,3.0,1.5,1.5,1.25,False,True,True,True,True,True,False,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 72,Константинова Полина Тимуровна,18.10.2023,Times New Roman,14,1.5,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,False,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 73,Валентин Харлампьевич Сазонов,03.11.2023,Verdana,14,2.0,2.0,4.0,1.0,1.0,1.25,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 74,Козлова Агата Ждановна,21.06.2023,Times New Roman,14,2.0,2.0,4.0,1.5,2.0,1.25,True,True,True,True,False,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 75,Гуляева Эмилия Вениаминовна,21.01.2025,Times New Roman,14,1.5,2.0,3.0,1.5,1.5,2.0,True,True,True,False,True,True,True,True,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 76,Самойлов Каллистрат Артемьевич,03.06.2021,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 77,Виталий Зиновьевич Рогов,16.08.2021,Times New Roman,16,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 78,Хохлов Мариан Арсеньевич,13.07.2022,Times New Roman,14,2.5,2.5,3.0,1.0,1.5,1.25,True,False,True,False,True,False,True,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 79,Евфросиния Руслановна Маркова,23.08.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,False,False,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 80,Гущина Агафья Рудольфовна,15.12.2023,Verdana,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 81,Доброслав Игоревич Лихачев,16.05.2022,Calibri,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 82,Елизар Федосьевич Нестеров,06.12.2024,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,False,False,True,True,True,True,False,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 83,Зайцев Эрнест Вячеславович,28.08.2021,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,False,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 84,Роман Харламович Игнатов,12.12.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,True,True,False,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 85,Медведева Ангелина Александровна,30.09.2023,Times New Roman,14,2.0,2.0,3.0,1.5,0.8,1.25,True,True,True,False,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 86,Прасковья Владимировна Силина,12.12.2023,Times New Roman,16,2.0,2.0,3.0,1.0,1.5,1.25,True,True,False,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 87,Устинов Капитон Герасимович,17.10.2023,Calibri,14,2.0,2.0,3.0,1.5,1.5,2.0,True,False,True,False,False,True,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 88,Сысоева Антонина Олеговна,22.01.2025,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,False,False,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 89,Суворова Варвара Аркадьевна,30.09.2024,Times New Roman,14,1.5,2.5,3.0,1.0,1.0,1.25,True,True,True,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 90,Зыков Константин Геннадиевич,24.09.2023,Times New Roman,14,2.5,2.0,3.0,1.0,1.5,1.25,False,False,False,True,True,True,False,False,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 91,Красильников Измаил Георгиевич,14.05.2022,Times New Roman,16,2.5,2.0,2.5,1.5,0.8,1.25,True,True,True,False,True,True,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 92,Воронцова Оксана Борисовна,03.09.2021,Times New Roman,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 93,Мария Кузьминична Колесникова,29.05.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,False,False,True,True,True,True,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 94,София Эдуардовна Пахомова,03.06.2023,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,False,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 95,Лихачев Софон Филиппович,29.09.2022,Times New Roman,12,2.0,1.5,3.0,1.5,1.5,1.25,True,True,True,True,False,False,True,True,True,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 96,Евпраксия Степановна Матвеева,23.03.2023,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,False,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 97,Дроздова Ксения Даниловна,07.04.2022,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,False,True,True,False,False,False,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 98,Копылова Лариса Мироновна,15.04.2025,Calibri,16,2.0,2.5,3.0,1.0,1.5,1.25,True,True,False,True,True,True,True,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 99,Станислав Захарьевич Алексеев,06.12.2024,Times New Roman,13,2.0,2.0,3.0,1.0,0.8,1.25,True,True,False,True,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 100,Иванна Никифоровна Евдокимова,23.04.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,2.0,True,True,True,True,True,False,True,True,True,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 101,Вишняков Никандр Игнатьевич,30.05.2023,Times New Roman,12,2.0,2.5,3.0,1.5,1.5,1.25,True,True,True,True,True,True,True,True,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 102,Орехов Захар Ефимович,27.10.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.5,True,True,True,True,True,True,True,True,False,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 103,Рогов Фадей Ермолаевич,26.03.2023,Times New Roman,14,1.5,1.5,4.0,1.0,0.8,1.25,True,True,True,False,False,True,True,False,True,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 104,Некрасова Евгения Ивановна,23.06.2021,Verdana,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,False,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 105,Мариан Жанович Макаров,15.05.2022,Times New Roman,14,2.0,2.0,3.0,1.0,2.0,1.0,True,True,True,False,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 106,Таисия Николаевна Зуева,16.10.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 107,Афанасий Артемьевич Белозеров,31.08.2022,Arial,14,2.0,2.5,3.0,1.5,1.5,1.25,True,True,True,True,True,True,True,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 108,Ульян Борисович Харитонов,04.11.2024,Times New Roman,13,2.5,2.0,3.0,1.0,1.0,1.25,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 109,Тарас Иларионович Воронов,24.03.2024,Times New Roman,16,2.0,2.0,3.0,1.0,0.8,1.25,True,False,False,True,False,True,False,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 110,Журавлев Аникей Юльевич,09.11.2021,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,False,True,True,False,True,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 111,Сафонова Виктория Эльдаровна,19.09.2023,Verdana,14,2.0,2.0,3.0,1.5,1.5,1.25,True,True,True,True,True,True,True,True,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 112,Денисов Митофан Евстигнеевич,25.08.2022,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,True,True,True,False,False,True,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 113,Прасковья Игоревна Зуева,31.03.2023,Verdana,12,2.0,2.0,3.0,1.0,1.5,1.25,False,True,True,True,True,True,True,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 114,Лыткин Касьян Устинович,30.07.2021,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,False,True,True,True,True,True,True,False,True,True,True
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 115,Валерьян Чеславович Суханов,20.02.2025,Verdana,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,True,True,True,True,False,False,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 116,Олимпиада Архиповна Афанасьева,18.05.2024,Times New Roman,14,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,False,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 117,Филимон Фадеевич Кошелев,02.04.2025,Times New Roman,14,2.0,1.5,3.0,1.0,1.5,1.25,True,True,True,True,False,False,False,False,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 118,Назарова Анжела Григорьевна,24.06.2023,Times New Roman,13,2.0,1.5,2.5,1.0,1.5,1.25,True,True,True,True,False,True,False,True,False,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 119,Назаров Тит Гертрудович,06.03.2022,Times New Roman,14,2.5,2.0,3.0,1.0,2.0,1.25,True,True,True,True,True,False,True,True,False,True,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 120,Аникита Валерианович Михеев,08.03.2024,Times New Roman,12,2.0,2.0,3.0,1.0,1.5,1.25,True,True,True,False,True,True,False,False,False,False,True,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 121,Шубина Анжела Натановна,02.04.2024,Times New Roman,14,1.5,2.0,3.0,1.0,2.0,1.25,True,True,False,False,True,False,False,True,True,True,False,False
Подготовка и предварительная обработка данных предметной области для модели распознавания вариант 122,Мария Дмитриевна Стрелкова,01.10.2021,Times New Roman,14,2.5,2.0,3.0,1.0,0.8,1.25,True,True,True,True,True,True,True,True,True,True,False,False
